source,name,type,network,compatible,reason
automatic,AKUN-001-CLOUDFLARE-VLESS-WS-106MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-002-CLOUDFLARE-VLESS-WS-106MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-003-CLOUDFLARE-VLESS-WS-113MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-004-CLOUDFLARE-VLESS-WS-118MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-005-CLOUDFLARE-VLESS-WS-113MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-006-CLOUDFLARE-VLESS-WS-121MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-007-CLOUDFLARE-VLESS-WS-119MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-008-CLOUDFLARE-VLESS-WS-120MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-009-CLOUDFLARE-VLESS-WS-119MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-010-CLOUDFLARE-VLESS-WS-112MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-011-ZVC-VLESS-WS-102MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-012-CLOUDFLARE-VLESS-WS-113MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-013-CLOUDFLARE-VLESS-WS-119MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-014-CLOUDFLARE-VLESS-WS-139MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-015-CLOUDFLARE-VLESS-WS-104MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-016-CLOUDFLARE-VLESS-WS-142MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-017-CLOUDFLARE-VLESS-WS-112MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-018-CLOUDFLARE-VLESS-WS-131MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-019-CLOUDFLARE-VLESS-WS-120MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-020-CLOUDFLARE-VLESS-WS-114MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-021-CLOUDFLARE-VLESS-WS-114MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-022-CLOUDFLARE-VLESS-WS-97MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-023-CLOUDFLARE-VLESS-WS-152MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-024-CLOUDFLARE-VLESS-WS-114MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-025-CLOUDFLARE-VLESS-WS-151MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-026-CLOUDFLARE-VLESS-WS-126MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-027-CLOUDFLARE-VLESS-WS-123MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-028-CLOUDFLARE-VLESS-WS-123MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-029-CLOUDFLARE-VLESS-WS-147MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-030-CLOUDFLARE-VLESS-WS-166MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-031-DIGITALOCEAN-VLESS-WS-169MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-032-AMAZON-VLESS-WS-188MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-033-CLOUDFLARE-VLESS-WS-487MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-034-ZENFO-1-VLESS-WS-576MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-035-CLOUDFLARE-VLESS-WS-157MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-036-CLOUDFLARE-VLESS-WS-153MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-037-ZVC-VLESS-WS-813MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-038-CLOUDFLARE-VLESS-WS-799MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-039-CLOUDFLARE-VLESS-WS-157MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-040-AS199785-DE-IPV4-VLESS-WS-795MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-041-CLOUDFLARE-VLESS-WS-789MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-042-AS199785-DE-IPV4-VLESS-WS-782MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-043-CLOUDFLARE-VLESS-WS-828MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-044-CLOUDFLARE-VLESS-WS-826MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-045-CLOUDFLARE-VLESS-WS-833MS,vless,ws,yes,mihomo config test ok
automatic,AKUN-046-CLOUDFLARE-VLESS-WS-705MS,vless,ws,yes,mihomo config test ok
